编号,句子,实体1a,实体1b
3563,对此，外交部发言人华春莹在当天下午举行的外交部例会上表示，中方密切关注并且全程掌握了美国军舰过航台湾海峡的情况，并且已经就此向美方表达了关切。“台湾问题中美关系中最重要、最敏感的问题，”华春莹说，“我们敦促美方恪守一个中国原则和中美三个联合公报规定，慎重妥善处理涉台问题，以免损害中美关系和台海和平稳定。”,美国军舰,台湾海峡
3564,,,
3565,【环球网军事1月25日报道】据俄罗斯《消息报》1月24日报道，从今年起，俄罗斯海军军舰每次出航都将有海军陆战队部队随行，这种反恐小组的人员组成和规模取决于舰船类型。例如，护卫舰为20名“黑色贝雷帽”特种部队队员。他们将配备冲锋枪、机枪、狙击枪和火箭筒。海军陆战队员将对舰船实施保护、对抗恐怖分子和破坏分子并对可疑船只进行登船检查。如有必要，将派“黑色贝雷帽”保护港口舰船。,“黑色贝雷帽”,港口舰船
3572,2000至2010年，海军陆战队员与海军和特种部队曾联合打击索马里海盗。特别是2010年，海军陆战队员从“沙波什尼科夫元帅”号大型反潜舰展开行动，成功解救被劫持的“莫斯科大学”号油轮。 此次行动中，油轮船员和军人均无伤亡。,海军陆战队员,“莫斯科大学”号油轮
3574,【环球网军事1月25日报道】俄罗斯卫星通讯社1月24日报道，卡拉什尼科夫集团康采恩公司总经理弗拉基米尔·德米特里耶夫表示，“天王星-9”战斗机器人将列装俄罗斯军队。,“天王星-9”战斗机器人,俄罗斯军队
3576,机器人综合体“天王星-9”战斗机器人用于侦察、火力支援和敌方装甲车辆的破坏。这款重达12吨的机器人配备了用反坦克导弹“突击”制导武器综合系统、 “大黄蜂-M”火箭筒、30毫米2A72机关炮和7.62毫米自动机枪。,“天王星-9”战斗机器人,反坦克导弹“突击”制导武器综合系统、 “大黄蜂-M”火箭筒、30毫米2A72机关炮和7.62毫米自动机枪
3578,【环球网军事1月25日报道】俄罗斯卫星通讯社1月24日报道，俄罗斯海军波罗的海舰队新闻处向记者表示，该舰队S-400防空导弹系统战勤班组在实兵演练期间对假想目标进行了导弹电子模拟发射。,S-400防空导弹系统战勤班组,导弹电子模拟发射
3579,波罗的海舰队新闻处透露，“在演练的实兵阶段，S-400防空导弹系统战勤班组演练了获取有关发现空中巡航导弹信号后遂行任务的动作，进行了导弹的电子发射，假想敌空中目标被摧毁”。,S-400防空导弹系统战勤班组,导弹的电子发射
3582,【环球网军事1月25日报道】 俄罗斯国防部信息与大众传媒司1月24日发布消息称，一架瑞典“湾流”侦察机在波罗的海中立水域上空沿俄罗斯边境活动，俄军出动苏-27战斗机升空对其进行拦截。,俄军出动苏-27战斗机,一架瑞典“湾流”侦察机
3583,俄国防部称，“俄罗斯监视波罗的海中立水域上空的侦察设备，发现了一个空中目标接近俄罗斯联邦国界，防空值班兵力出动了1架苏-27战斗机升空拦截”。,1架苏-27战斗机,空中目标
3584,俄国防部补充说，俄军歼击机抵近时与空中目标保持了安全距离，识别出这是一架瑞典空军“湾流”侦察机，其敌我识别应答机处于关闭状态。俄国防部指出，“外机离开俄罗斯联邦国境线后，俄军战斗机顺利返回驻地机场”。,俄军歼击机,瑞典空军“湾流”侦察机
3585,随后瑞典军队向媒体表示，俄罗斯军队的飞机在1月19日曾短时间内进入瑞典领空。,俄罗斯军队的飞机,瑞典领空
3586,消息中称：“俄罗斯伊尔-20飞机1月19日在苏-27战斗机的伴随下飞越波罗的海上空。俄罗斯飞机在布莱金厄省的卡尔斯港南部飞行时，曾在没有经过允许的情况下短时间内进入瑞典领空。”瑞典军方认为此为侵犯领空行为，并已向政府报告。,俄罗斯伊尔-20飞机,瑞典领空
3593,美国太平洋舰队“麦克坎贝尔”号驱逐舰和“沃尔特·迪尔”号补给舰星期四通过台湾海峡，这是今年以来美舰第一次过台湾海峡，也是去年10月以来的第三次此类行动。这样的频率是很多年来所没有过的。,“麦克坎贝尔”号驱逐舰和“沃尔特·迪尔”号补给舰,台湾海峡
3594,台湾海峡的中间部分不属于中国的领海，外国船只和军舰都是可以无害通过的。然而美国军舰过台海的真正目的是进行地缘政治示威，美方星期四宣称这样做是要表明“美国对一个自由开放的印度-太平洋的承诺”，但它的这番漂亮话包裹着谁都能看得懂的挑衅。,美国军舰,台海
3604,【环球时报综合报道】“日本海上自卫队巡逻机靠近韩国海军舰艇威胁飞行”在两国所引发的争吵正逐步升级。韩军24日公布了日本海上自卫队P-3巡逻机此前一天贴近飞行威胁韩国军舰的5张照片。其中一张照片显示，日机在60米的低空靠近韩舰，双方最近距离仅有540米。,日本海上自卫队P-3巡逻机,韩国军舰
3605,韩联社称，23日下午2时3分许，日本P-3巡逻机在东海海域靠近韩方军舰。韩国联合参谋本部紧急召开记者会，强烈谴责日本巡逻机的威胁性飞行举动。韩国军方24日公布了2张红外线摄像机所拍影像的截图、1张光学摄像机所拍影像的截图和2张雷达画面。其中一张红外照片拍下23日下午2时3分日机的身影（下图）。此时的雷达画面显示，日机在60米高度低飞，距韩军“大祚荣”号驱逐舰右舷仅有540米。韩国国防部称，“雷达所标日机的高度和距离是客观科学的证据”。报道还透露，韩军24日原计划公布完整的监视录像“批评日方威胁行为”，最后却只发布照片，留出了转圜余地，表明韩方基于事实化解争议的立场。,日本P-3巡逻机,韩军“大祚荣”号驱逐舰
3612,印度在安达曼－尼科巴群岛的军事活动近年来日益频繁。印度《经济时报》称，由于中国核潜艇和常规潜艇经常在印度洋地区出现，印度已开始在安达曼－尼科巴群岛的前沿军事基地部署最新远程海上巡逻机和无人侦察机。印度军事战略家认为，向安达曼-尼科巴群岛派驻战斗机，不仅能加强印度洋东部地区的防御，而且有助于对抗中国海军。此举也将标志着自二战结束以来，首次有战斗机长期驻扎在安达曼-尼科巴群岛。,印度,海上巡逻机和无人侦察机
3615,【环球时报综合报道】据韩联社24日报道，韩国破冰科考船“ARAON”号23日在南极成功救援中国科考队。,韩国破冰科考船“ARAON”号,中国科考队
3616,报道称，因中方人员乘坐的“雪龙”号科考船于19日在航行途中与冰山相撞，“科考船被迫返回，24名中国科考队员由此受困”。韩国海洋水产部介绍说，中方基地建设现场的临时建筑可以御寒，但生活用品仅够维持到下个月初。加上南极正值夏季，该基地附近可作为飞机跑道的海冰消融，飞机难以前往救援，增派其他船舶至少需要10天。由此，正在罗斯海执行勘察任务的“ARAON”号21日应中方请求赶往救援。,“ARAON”号,“雪龙”号科考船
3619,韩媒描述说，由于现场没有停靠设施，“ARAON”号在距离中方约700米处海域待命，韩方出动直升机帮助中方人员安全乘船。“ARAON”号将于2月4日将中方人员送抵新西兰利特尔顿港，并将于2月9日重返张保皋站接回韩方科考队48名队员。报道称，“ARAON”号是韩国首艘国产破冰科考船，于2009年服役，多次执行极地勘探任务，2011年在南极营救遇险的俄罗斯渔船。,“ARAON”号,韩国首艘国产破冰科考船
3623,【环球时报报道 特约记者 李强 本报记者 刘扬】由于装备了很多极具战略威慑力的国之重器，解放军火箭军的一举一动往往牵动着境外媒体的敏感神经。近日，国内媒体关于“东风-26”“东风-17”等导弹的报道再次引发外媒集体关注，并将其与“美英海军巡航南海”联系起来。不过中国专家表示，中国官方媒体报道的相关内容完全是火箭军部队日常训练活动，不必过度解读，外媒似乎患上了“中国导弹过敏症”。,解放军火箭军,“东风-26”“东风-17”等导弹
3624,中国官方媒体发布的新型中远程弹道导弹训练视频首先受到境外媒体关注。“防务博客”网站23日题为“中国发布‘东风-26’弹道导弹发射视频”的文章称，中国媒体发布了“东风-26”中远程弹道导弹（IRBM）的发射视频。报道称，“东风-26”是中国人民解放军火箭军部署的最复杂、最先进的中远程弹道导弹之一。“‘东风-26’中远程弹道导弹最大射程为4000公里，可以威胁远至太平洋岛屿关岛的美国地面和海上部队。”文章称，中国媒体将该导弹系统称为“关岛快递”，因为它能够携带常规或核弹头打击这个美国太平洋基地。,中国,‘东风-26’弹道导弹
3625,报道称，“东风-26”是一种两级固体燃料导弹，安装在12×12运输/起竖/发射车（TEL）上，该发射车可能基于一家中国大型国有军工集团下属公司研制的HTF5680底盘。报道称，“东风-26”于2015年9月3日的阅兵式上向公众展示。根据英国《简氏防务周刊》报道，中国国防部于2018年4月证实，中国自主研制的“东风-26”中远程弹道导弹已进入解放军火箭军服役。,“东风-26”,两级固体燃料导弹
3627,除“东风-26”以外，不少境外媒体还把关注焦点对准所谓的“东风-17”。美国《大众机械》网站24日称，中国表示其新型高超音速导弹“东风-17”可以击沉美国海军的航空母舰。文章称，中国媒体报道称，如果发射8枚“东风-17”导弹可能会击沉一艘美国航母，而且“西方导弹防御系统”追踪或拦截“东风-17”将是“不可能的”。,“东风-17”,新型高超音速导弹
3628,报道称，“东风-17”是一种助推滑翔型高超音速武器系统。传统的弹道导弹将弹头送入太空，以相对固定的抛物线弹道抵达目标。然而，高超音速武器则以超过5马赫的速度向目标俯冲，因此很难拦截。不过《大众机械》的文章认为，中国要想用“东风-17”有效攻击美国航母，还要克服很多困难，包括对航母战斗群的侦察监视。,“东风-17”,助推滑翔型高超音速武器系统
3632,印度《经济时报》以及美国《商业内幕》网站则关注到中国火箭军的一次模拟发射。上述媒体援引中国官方媒体报道称，中国人民解放军火箭军从一个地下掩体对一个假想敌进行了洲际弹道导弹（ICBM）模拟打击任务。发布这一消息的官方媒体没有透露有关演习地点和时间等详细信息。报道称，在封闭式环境下进行长期生存训练已成为部队常态，这将有助于确保一旦战争爆发能够有效反击实施能力。文章称，中国承诺永远不会首先使用核武器，只会在反击中使用核武器，其战略导弹储存设施必须能够在第一波敌对核打击中幸存下来。,中国人民解放军火箭军,洲际弹道导弹（ICBM）模拟打击任务
3635,俄罗斯展示9M729导弹,俄罗斯,9M729导弹
3636,【环球时报驻美国特约记者 温燕 环球时报特约记者 柳直 王逸】当地时间23日，俄罗斯首次向外界展示9M729型导弹，以此反驳美国宣称的该导弹违反《中导条约》的说法。路透社评论称，随着美国2月2日“退约”大限渐渐逼近，莫斯科此举意在劝说华盛顿继续保留《中导条约》。不过美国和其他北约成员国拒绝参加此次活动。美国驻俄罗斯大使馆新闻官卡兰24日表示，展示活动无法证明俄罗斯遵守了《中导条约》。有美国专家认为，美俄都已停止挽救《中导条约》，现在就看谁是终结条约的罪魁祸首，双方开始“甩锅”。,俄罗斯,9M729型导弹
3641,对于卡兰的说法，俄国家杜马议员诺维科夫表示，美国退出《中导条约》的立场坚定，但他们不希望退约责任落在自己身上，因此试图指责俄违规。在俄罗斯周三的展示活动后，美国将继续就此事件对俄发动信息战。美国广播公司称，莫斯科周三的展示活动不太可能缓和美俄在《中导条约》上的争端。相反，专家们认为，这说明美俄已停止挽救该条约。美国前驻乌克兰大使皮弗表示：“我们现在看到的是，俄罗斯和美国都开始寻找谁是导致条约终结的罪魁祸首，而不是努力寻找解决方案”。,美国,《中导条约》
3650,台军装备的“锐鸢”无人机,台军,“锐鸢”无人机
3651,【环球网军事1月24日报道】台湾近日首度公布了其“海上战术侦搜大队”装备的多款无人机的战备情况，现场展示了台湾自行研制的“锐鸢”无人机的作战能力，还公布了该机所拍摄到的大陆电子侦察船的照片。,“海上战术侦搜大队”,多款无人机
3652,据台湾“联合新闻网”1月24日报道，台湾“国防部”在屏东“神鸥基地”首次展示了“锐鸢”无人机的作战能力，该机从基地起飞，飞行至南部外海3000米的高空进行监视作业展示，与台军的“联成系统”的卫星指挥管制系统，共同回传海上两艘作战舰艇备战作业。,台湾“国防部”,“锐鸢”无人机
3653,当日上午台军派出纪德级苏澳舰及康定级昆明舰至南部外海，模拟导弹来袭，实施防空一级备战演练，施放干扰弹及采取反导弹措施，将各式武器指向来袭目标。“锐鸢”无人机按照作战中心提供预警情报起飞，执行目标联合监侦、搜索目标位置并传递情报。另外，台军还展示了“红雀”无人机起降，强调此型机已在东沙岛、南沙太平岛升空进行实地监侦。,台军,“红雀”无人机
3655,“联合新闻网”报道称，“锐鸢”无人机成军初期负责陆域、海际侦搜，2016年起陆续进驻各机场。台海军上午也公开了“锐鸢”无人机的识别成果，该机曾在2017年11月间在台湾东部外海100公里外，侦获大陆舷号为851的北极星号电子侦察舰，并公布了“锐鸢”无人机所拍摄的画面。,台海军,“锐鸢”无人机
3656,台军“锐鸢”无人战术侦察机由台湾“中科院”自行研制，该机身长5.3米、翼展8.7米，最大起飞重量450千克，有效载荷50千克，按其尺寸和载荷能力来看只能算是一款中小型无人机。台军装备该无人机以来，已经发生多次坠机事故。该机造价不菲加上事故频发，引来台湾陆军的嫌弃，于2017年9月1日被“踢”给了海军，从“战术侦察大队”转隶海军“战术侦搜大队”。,台湾“中科院”,台军“锐鸢”无人战术侦察机
3657,“锐鸢”无人机坠毁在小学附近,“锐鸢”无人机,小学附近
3658,台海军“海上战术侦搜大队”上周就有一架“锐鸢”无人机坠海被捞回，海军自陆军接手机队后，已有3架机坠海，而在台陆军服役期间“锐鸢”公开坠毁事故就有4起。其中一起最为严重的事故发生于2018年3月8日，台湾海军一架“锐鸢”无人机于本日上午坠毁在屏东县武潭“国小”（小学）平和分校附近草地，所幸未造成人员损伤。,“锐鸢”无人机,屏东县武潭“国小”（小学）平和分校附近草地
3664,【环球网军事1月24日报道】印度新德里电视台（NDTV）1月23日报道，印度举行的“海上守夜”大规模军事演习共动用印度海军和海岸警卫队的大约150艘舰船以及40多架飞机和直升机。此次演习期间将演练一系列综合行动，旨在防止发生2008年孟买恐袭类似事件。,印度,“海上守夜”大规模军事演习
3665,“海上守夜”军演于周二启动，实兵实弹阶段定于周三举行。新德里电视台指出，这是印度“经济之都”遭极端分子攻击后十年来举行的最大规模此类演习。,印度,“海上守夜”军演
3666,新德里电视台援引海军发言人的话报道称：“此次军演目的是对孟买恐袭事件后所采取措施的有效性进行全面而系统的检查。”“海上守夜”军演沿印度长达7500多公里的整个海岸线展开，涉及所有13个沿海邦和联邦属地。,印度,“海上守夜”军演
3667,2008年11月，多名伊斯兰武装分子从巴基斯坦乘摩托艇抵达孟买，实施一系列恐怖袭击，造成166人死亡，其中包括多名外国公民。,多名伊斯兰武装分子,恐怖袭击
3669,【环球网军事1月24日报道】俄罗斯卫星通讯社1月23日报道，俄罗斯副外长谢尔盖·里亚布科夫表示，美国怀疑9M729导弹违反《中导条约》，要求对其进行全部销毁，对俄罗斯来说这是绝对不可接受的。,9M729导弹,《中导条约》
3671,美国总统特朗普早前表示美国打算退出《中导条约》，指责俄罗斯违反该条约，并称美国需要发展该条约所限制的武器。俄罗斯总统新闻秘书佩斯科夫指出，《中导条约》破裂将迫使俄罗斯为保障自身安全采取措施。,美国,《中导条约》
3675,【环球网军事1月24日报道】俄罗斯卫星通讯社1月23日报道，俄罗斯国防部23日首次向外国武官展示了现代化升级版的9M729导弹，它被美国指责违反《中导条约》。,俄罗斯国防部,现代化升级版的9M729导弹
3676,俄国防部称，9M729导弹是9M728导弹的现代化升级版，用于“伊斯坎德尔-M”战略行动导弹系统。它提升了弹头力量并获得了新的空中控制装置，保障更高的击中目标的精确度。国防部此前表示，弹头数量改变和采用附加设备使导弹变长了53厘米。与此同时，俄军方表示，导弹飞行最大距离减少了10公里，目前为480公里，不违反中导条约的规定。,9M729导弹,“伊斯坎德尔-M”战略行动导弹系统
3677,俄罗斯武装力量导弹兵和炮兵司令米哈伊尔·马特维耶夫斯基中将当日表示，俄罗斯的9M729导弹并未违反《中导条约》，它是“伊斯坎德尔-M”导弹系统含有的9M728导弹的升级版。马特维耶夫斯基在同外国武官的吹风会上表示，“9M728巡航导弹的现代化旨在增加弹头的力量和准确性。9M728和9M729导弹在大多数系统中都通用。” 马特维耶夫斯基指出，升级后的9M729导弹获得了新的发射器，它可以装载四枚导弹，而从前只能配备两枚。,“伊斯坎德尔-M”导弹系统,9M729导弹
3686,据新华社莫斯科1月21日电 （记者栾海）俄罗斯武器家族即将迎来载人空降新成员——120毫米口径2S42型自行火炮“莲花”（简称“莲花”炮）。俄军方近日宣布今年对其进行最后一轮测试。如能顺利通过，该炮将于2020年开始量产。,俄罗斯武器家族,2S42型自行火炮“莲花”（简称“莲花”炮）
3687,“莲花”炮由俄罗斯中央精密机器制造科研所研制。据科研所的母公司俄罗斯技术集团网站发布的消息，“莲花”炮战斗全重18吨，可容纳乘员4人，在完全做好战斗准备的情况下，载人空降到急需火力支援的交战位置。,俄罗斯中央精密机器制造科研所,“莲花”炮
3688,科研所所长巴科夫表示，“莲花”炮采用一系列新设计方案，可满足更高的人机工程学要求，提高作战性能和战场生存能力。该武器采用可载人空降的BMD-4M型空降兵战车的底盘，其外壳由钢材和特种铝合金制成，壳体外形具有特殊棱角，可减少对敌方飞机雷达波的反射，具有一定隐身效果。,“莲花”炮,可载人空降的BMD-4M型空降兵战车的底盘
3689,据俄媒报道，“莲花”炮左右两侧各有7个履带负重轮，发动机功率达450马力。主炮射程为1公里至13公里，可使用120毫米口径的各种炮弹，瞄准射击速度为每分钟6至8发炮弹。执行空投作业的每架伊尔-76运输机可装载两门“莲花”炮。将来，“莲花”炮拟装备俄空降兵和海军陆战队。,伊尔-76运输机,两门“莲花”炮
3696,直升机搭载特战队员升空进行巡逻警戒。,直升机,特战队员
3698,当地时间1月22日下午，正在亚丁湾护送商船航行的中国海军第31批护航编队昆仑山舰，成功慑止6艘疑似海盗小艇接近编队，确保了被护船舶的安全。,中国海军第31批护航编队昆仑山舰,6艘疑似海盗小艇接近编队
3700,22日14时30分许，昆仑山舰雷达更突然报告：“方位074，距离42链，发现一批可疑小目标。”当天，亚丁湾海域升起雾气，能见度不佳。昆仑山舰一边综合运用多种手段加强观察，一边迅速调整阵位，向可疑目标高速机动，将其与被护船舶隔离，并长鸣汽笛示警。然而，可疑目标继续高速向编队行驶。,昆仑山舰雷达,一批可疑小目标
3706,俄罗斯“自由媒体”23日报道称，1月18日在日本海上空，俄军两架苏-34战斗轰炸机在空中擦撞，4名飞行员中只有1人获救。俄专家指出，此次事故极有可能是“人祸”大于“机械故障”，可能是两架飞机的飞行员做一些近距离机动动作的失误，造成了此次事故。22日，一架图-22M3轰炸机完成例行训练飞行后，因突遇暴雪在摩尔曼斯克州奥列尼亚军用机场硬着陆时坠毁，造成机上4名飞行员中3人死亡。在一周内，俄罗斯空天军失去了多架战机，这还不是最糟糕的，最糟糕的是失去了6名飞行员。俄天空军事故率增加，除了天气等原因外，还有飞行员自身素质的原因。2016年俄国防部长绍伊古曾表示，俄空天军飞行员缺额1300多人，相信现在飞行员的数量仍然不足。虽然现在俄军飞行员飞行训练时间增加，一些飞行员甚至在叙利亚接受过实战锤炼，但不少飞行员仍缺乏足够的飞行经验，在飞行时不免会出现错误。俄空军专家彼得·杰涅金称，现在飞行员在训练中存在一个问题，他们在很长时间使用各种模拟器训练。他们学会在电脑上飞行，但这只是一个玩具，训练效果并不好。俄舰载机团大部分时间在模拟航母甲板上着陆，结果，2016年两架舰载机在地中海试图降落在“库兹涅佐夫”号航母上时坠毁。因此，飞行员需要更多实际飞行训练。,俄军,两架苏-34战斗轰炸机
3717,日本自卫队装备的F-15战斗机,日本自卫队,F-15战斗机
3729,【环球网综合报道】据韩联社1月23日报道，韩国国防部发布消息称，当日下午2时3分许，日本巡逻机在苏岩礁附近抵近韩方军舰。韩国联合参谋本部作战本部长徐旭23日紧急召开记者会，强烈谴责日本巡逻机的威胁性飞行行为。,日本巡逻机,韩方军舰
3730,2018年12月，日本P-1海上巡逻机靠近韩国军舰飞行。来源：韩联社,本P-1海上巡逻机,韩国军舰
3737,以色列军队今天凌晨袭击了叙利亚的伊朗军火库和多处对实施轰炸任务的飞机开火的防空阵地。军方称空袭是对戈兰高地日前遭受火箭的袭击事件的报复。,以色列军队,叙利亚的伊朗军火库
3738,俄罗斯国防国家指挥中心21日发布消息称，以色列空军周一凌晨从西、西南和南部方向对叙利亚领土实施了三次空袭，造成叙利亚军队4死6伤。,以色列空军,空袭
3741,【环球网军事1月23日报道】俄罗斯卫星通讯社1月21日报道，一名知情人士向俄罗斯卫星通讯社透露，俄罗斯军队一辆装甲运兵车BTR-80在阿布哈茲翻入40米深峡谷，造成车内3名俄军人死亡，有关部门已对此事刑事立案。,俄罗斯军队,装甲运兵车BTR-80
3749,里亚布科夫指出，莫斯科方面毫不怀疑华盛顿已经决定退出《中导条约》。,华盛顿,《中导条约》
3751,【环球网军事1月23日报道】据俄罗斯《消息报》报道，俄罗斯在北极部署了带有人工智能元件的“共振-N”移动式雷达系统。该系统能够探测到一千公里之外的巡航导弹和无人机。报道称，此技术对北极地区尤为重要，因为敌人可能会从该地向乌拉尔、西伯利亚以及俄罗斯中部地区实施打击。,俄罗斯,“共振-N”移动式雷达系统
3752,俄国防部向《消息报》表示，“共振-N”于去年年底入编北方舰队，进入第45空防集团军无线电技术部队服役。“共振-N”用于有效远程探测各类空中目标。它能够发现反射面积很小的飞行物体并对其进行分类，能够轻易探测到隐形巡航导弹和弹道导弹以及高超音速飞行设备、微型无人机、直升机和隐形飞机。“共振-N”研发过程中使用了对大数据进行数学处理的最新认知技术，可以实现自学。,北方舰队,“共振-N”
3753,“共振-N”配备的相控阵大大拓展了雷达系统的能力，而定位器可自动与其他雷达系统交换数据。该设备能够探测到1100公里范围内的空中目标，向600公里范围内的防空设备发送目标指示。,“共振-N”,相控阵
3755,报道称，新雷达系统将大大提升防空部队在北极地区的防御能力。苏联解体后，这里的雷达网出现了“漏洞”。为解决这一问题，2015年在北极地区组建了北方舰队第45空防集团军，并于去年在其下成立了一支新的防空师。与此同时，部署在法兰士约瑟夫地群岛、新地岛、北地群岛和新西伯利亚群岛的无线电技术部队进入战斗值班。,北方舰队第45空防集团军,无线电技术部队
3758,俄罗斯军队正在积极升级防空设备，计划到2020年全面更新防空部队装备。目前，所有新组建的防空导弹旅和防空部队都已配备现代化武器系统，仅2018年就列装了120件新防空设备。,防空导弹旅和防空部队,现代化武器系统
3760,俄罗斯军舰发射反舰导弹,俄罗斯军舰,反舰导弹
3761,【环球网军事1月23日报道】俄罗斯卫星通讯社1月22日报道，俄罗斯国防部将接装经过轻量化改造的“锆石”高超音速导弹，导弹首先将用于武装“红带蛛”和“暴徒-M”级小型导弹舰。,俄罗斯国防部,“锆石”高超音速导弹
3762,此前，“锆石”高超音速导弹用于核巡洋舰、核潜艇和护卫舰。轻量型“锆石”高超音速导弹的出现将影响俄海军行动策略。俄罗斯《消息报》从俄海军总司令部获悉，新版“锆石”的战术技术要求已拟定。导弹虽小但基本技术性能不受影响，在杀伤力方面轻量型“锆石”要弱于常规版。“锆石”导弹将首先用于武装22800型”红带蛛“和21631型”暴徒-M“小型导弹舰。这两种小型导弹舰都配备了“口径”巡航导弹和“缟玛瑙”反舰导弹，”锆石“的出现将让它们无可匹敌。,“锆石”高超音速导弹,核巡洋舰、核潜艇和护卫舰
3763,“锆石”高超音速反舰导弹理论上是一种新武器，属于非核武器系统，但威力接近核武器。新型“锆石”导弹与上一代的反舰导弹相比较，击中航母型目标的机率更高。“锆石”导弹坚固、弹头强大、飞行速度快，爆炸能量能将大型战舰击沉至海底。,“锆石”高超音速反舰导弹,非核武器系统
3767,“轻量型的导弹发动机相同，但会用更小的弹头、燃油舱和其他结构性元件”，他说：“有很大可能导弹的起动加速器也将被修改，‘锆石’的起动加速器将非常强大。”新的加速器将能减少搭载“锆石”导弹的舰船（比如小型导弹舰）的发射载荷。他认为，小型导弹舰和潜艇上的超音速导弹能切实提高海军的力量。科尔涅夫还表示，轻型“锆石”能快速武装海军。小型导弹舰是“锆石”导弹最廉价的运载设备，一艘建造期为2-3年。,小型导弹舰和潜艇,超音速导弹
3770,武装分子装备使用美制“陶-2”反坦克导弹,武装分子,美制“陶-2”反坦克导弹
3784,据俄国防部早前消息，1月22日，一架图-22M3轰炸机完成例行训练飞行后，因突遇暴雪在摩尔曼斯克州硬着陆时坠毁，造成2名乘员死亡，2人受伤。飞机没有携带弹药。,图-22M3轰炸机,摩尔曼斯克州
3797,对于CSIS称朝鲜有“秘密导弹基地”，韩国联合参谋本部发言人22日在接受韩联社采访时表示，所谓“秘密基地”的朝鲜新五里基地是韩美一直密切关注的设施。报道称，新五里导弹基地部署有中程弹道导弹，但并没有中远程弹道导弹和洲际弹道导弹。实际上，韩国媒体曾多次提到该基地。,新五里导弹基地,中程弹道导弹
3802,“韩美3月初关键决断军演或面临搁浅。”韩国《中央日报》称，美国前防长马蒂斯辞职前曾确定2019年上半年举行韩美关键决断联合演习。不过，随着第二次“金特会”确定，马蒂斯“最后的作品”可能面临搁浅的命运。,美国,韩美关键决断联合演习
3804,参加演习的印度海军舰队,印度海军舰队,演习
3805,【环球时报综合报道】据《印度时报》网站22日报道，印度海军当天展开了规模最大的近岸海上防御演习，“严防恐怖分子从海上渗透发动恐怖袭击”。,印度海军,近岸海上防御演习
3807,印度海军发布的一份声明称，“这是一次由海军组织的大型战区联合演习，其规模是前所未有的。海上警戒和联合演习将覆盖整个海上安全领域演练科目，包括从和平过渡到战时开火。”,印度海军,大型战区联合演习
3810,印度声称，2008年11月26日，来自巴基斯坦的渗透人员利用劫持的渔船登陆印度海岸，在孟买发动了恐怖袭击，造成惨重的平民伤亡。此后，印度在提高海域态势感知能力和确保海上边界安全方面下了血本，不仅在海岸线上的各类灯塔上部署了46座远程雷达站，还先后建成了由海岸雷达链、国家自动识别系统网、部署在港口的船舶交通管理系统、渔船监控系统、远程识别和跟踪系统组成的多层监视体系。印度海岸警卫队也针对性地添置了数十艘气垫船、拦截船和巡逻机。印度海军还专门组建了1000人的“海上卫队”，并建立了一支小型快速拦截艇舰队，以保护其重要的舰艇和沿海设施。▲ （李传祯）,印度,46座远程雷达站
3812,俄军苏-24战机超低空飞掠美国海军驱护舰,俄军苏-24战机超,美国海军驱护舰
3813,【环球时报综合报道】美海军“唐纳德·库克”号导弹驱逐舰刚进入黑海海域，美军又向波罗的海派出两艘驱逐舰。俄罗斯《消息报》22日称，俄国家防御指挥中心称，俄波罗的海舰队已经派出“勇敢”号和“灵敏”号两艘护卫舰，对进入波罗的海南部水域的美海军“格雷夫利”号、“波特”号两艘驱逐舰进行跟踪监视。同时波罗的海舰队和西部军区的技术侦察系统也都参与监视美国军舰行动。,美海军“唐纳德·库克”号导弹驱逐舰,黑海海域
3815,《消息报》认为，美海军舰只同时出现在俄周边两个海域是很罕见的情况，而且美海军已经有很长一段时间没有进入波罗的海区域。俄专家认为，美国此举是为了测试俄罗斯海军反应能力。俄军事专家杰宾称，美国驱逐舰进入波罗的海，可能有几个目的：一是从事侦察活动，用无线电设备监视沿海地区的俄军动向。其次，美军欧洲司令部在这一海域展示其军事外交。美国试图以此向盟国表明，他们能得到美国的支持。,美国驱逐舰,波罗的海
3821,这个堪称“船海”的新型作战概念包括配置一个由分散但“相互联网”的下一代气垫登陆艇和其他小型船只构成的登陆船队。这些小型舰艇由大甲板两栖“母船”搭载，后者用于指挥和控制，同时带有传感器、远程火力和“第五代空中支援战机”。美国海军远征作战部长大卫·科夫曼少将在海军水面协会研讨会上做出上述设想。科夫曼将其解释为“将有人和无人驾驶的战斗艇家族，融入分布式海上作战行动”。,大甲板两栖“母船”,小型舰艇
3823,为支撑这个全新的作战概念，美海军将发展一系列新型舰艇，例如未来的气垫登陆艇、无人水面舰艇、两栖战车、舰载水下无人艇等，这将有助于美海军引入更有效和致命的“超视距由舰到岸”攻击能力。由两栖攻击舰搭载的F-35隐形战斗机将解决敌人的空对空和空对地威胁，发现并摧毁敌方岸基防御系统，为登陆作战铺平道路。,两栖攻击舰,F-35隐形战斗机
3824,反恐战争中大出风头的美国特种作战部队也在开始转型。美国“新闻报道”网站22日的报道称，美国“海豹”突击队正在“回归自己”。报道称，近年来，指挥“海豹”突击队和特种作战舟艇部队的美海军特种作战司令部已悄然开始进行“国家级演习”，并加大了与海军水面舰队的训练。,美海军特种作战司令部,“国家级演习”
